distance_nm,block_time_h,revenue,total_cost,profit,profit_margin,profit_per_passenger,avg_fare,load_factor
740.0,2.394,26100.0,10084.72,16015.28,0.6136,177.95,270,0.5
740.0,2.394,28710.0,10084.72,18625.28,0.6487,188.13,270,0.55
740.0,2.394,31320.0,10084.72,21235.28,0.678,196.62,270,0.6000000000000001
740.0,2.394,33930.0,10084.72,23845.28,0.7028,203.81,270,0.6500000000000001
740.0,2.394,36540.0,10084.72,26455.28,0.724,209.96,270,0.7000000000000002
740.0,2.394,39150.0,10084.72,29065.28,0.7424,215.3,270,0.7500000000000002
740.0,2.394,41760.0,10084.72,31675.28,0.7585,219.97,270,0.8000000000000003
740.0,2.394,44370.0,10084.72,34285.28,0.7727,224.09,270,0.8500000000000003
740.0,2.394,46980.0,10084.72,36895.28,0.7853,227.75,270,0.9000000000000004
740.0,2.394,49590.0,10084.72,39505.28,0.7966,231.03,270,0.9500000000000004
740.0,2.394,27900.0,10084.72,17815.28,0.6385,197.95,290,0.5
740.0,2.394,30690.0,10084.72,20605.28,0.6714,208.13,290,0.55
740.0,2.394,33480.0,10084.72,23395.28,0.6988,216.62,290,0.6000000000000001
740.0,2.394,36270.0,10084.72,26185.28,0.722,223.81,290,0.6500000000000001
740.0,2.394,39060.0,10084.72,28975.28,0.7418,229.96,290,0.7000000000000002
740.0,2.394,41850.0,10084.72,31765.28,0.759,235.3,290,0.7500000000000002
740.0,2.394,44640.0,10084.72,34555.28,0.7741,239.97,290,0.8000000000000003
740.0,2.394,47430.0,10084.72,37345.28,0.7874,244.09,290,0.8500000000000003
740.0,2.394,50220.0,10084.72,40135.28,0.7992,247.75,290,0.9000000000000004
740.0,2.394,53010.0,10084.72,42925.28,0.8098,251.03,290,0.9500000000000004
740.0,2.394,29700.0,10084.72,19615.28,0.6604,217.95,310,0.5
740.0,2.394,32670.0,10084.72,22585.28,0.6913,228.13,310,0.55
740.0,2.394,35640.0,10084.72,25555.28,0.717,236.62,310,0.6000000000000001
740.0,2.394,38610.0,10084.72,28525.28,0.7388,243.81,310,0.6500000000000001
740.0,2.394,41580.0,10084.72,31495.28,0.7575,249.96,310,0.7000000000000002
740.0,2.394,44550.0,10084.72,34465.28,0.7736,255.3,310,0.7500000000000002
740.0,2.394,47520.0,10084.72,37435.28,0.7878,259.97,310,0.8000000000000003
740.0,2.394,50490.0,10084.72,40405.28,0.8003,264.09,310,0.8500000000000003
740.0,2.394,53460.0,10084.72,43375.28,0.8114,267.75,310,0.9000000000000004
740.0,2.394,56430.0,10084.72,46345.28,0.8213,271.03,310,0.9500000000000004
740.0,2.394,31500.0,10084.72,21415.28,0.6799,237.95,330,0.5
740.0,2.394,34650.0,10084.72,24565.28,0.709,248.13,330,0.55
740.0,2.394,37800.0,10084.72,27715.28,0.7332,256.62,330,0.6000000000000001
740.0,2.394,40950.0,10084.72,30865.28,0.7537,263.81,330,0.6500000000000001
740.0,2.394,44100.0,10084.72,34015.28,0.7713,269.96,330,0.7000000000000002
740.0,2.394,47250.0,10084.72,37165.28,0.7866,275.3,330,0.7500000000000002
740.0,2.394,50400.0,10084.72,40315.28,0.7999,279.97,330,0.8000000000000003
740.0,2.394,53550.0,10084.72,43465.28,0.8117,284.09,330,0.8500000000000003
740.0,2.394,56700.0,10084.72,46615.28,0.8221,287.75,330,0.9000000000000004
740.0,2.394,59850.0,10084.72,49765.28,0.8315,291.03,330,0.9500000000000004
740.0,2.394,33300.0,10084.72,23215.28,0.6972,257.95,350,0.5
740.0,2.394,36630.0,10084.72,26545.28,0.7247,268.13,350,0.55
740.0,2.394,39960.0,10084.72,29875.28,0.7476,276.62,350,0.6000000000000001
740.0,2.394,43290.0,10084.72,33205.28,0.767,283.81,350,0.6500000000000001
740.0,2.394,46620.0,10084.72,36535.28,0.7837,289.96,350,0.7000000000000002
740.0,2.394,49950.0,10084.72,39865.28,0.7981,295.3,350,0.7500000000000002
740.0,2.394,53280.0,10084.72,43195.28,0.8107,299.97,350,0.8000000000000003
740.0,2.394,56610.0,10084.72,46525.28,0.8219,304.09,350,0.8500000000000003
740.0,2.394,59940.0,10084.72,49855.28,0.8318,307.75,350,0.9000000000000004
740.0,2.394,63270.0,10084.72,53185.28,0.8406,311.03,350,0.9500000000000004
740.0,2.394,35100.0,10084.72,25015.28,0.7127,277.95,370,0.5
740.0,2.394,38610.0,10084.72,28525.28,0.7388,288.13,370,0.55
740.0,2.394,42120.0,10084.72,32035.28,0.7606,296.62,370,0.6000000000000001
740.0,2.394,45630.0,10084.72,35545.28,0.779,303.81,370,0.6500000000000001
740.0,2.394,49140.0,10084.72,39055.28,0.7948,309.96,370,0.7000000000000002
740.0,2.394,52650.0,10084.72,42565.28,0.8085,315.3,370,0.7500000000000002
740.0,2.394,56160.0,10084.72,46075.28,0.8204,319.97,370,0.8000000000000003
740.0,2.394,59670.0,10084.72,49585.28,0.831,324.09,370,0.8500000000000003
740.0,2.394,63180.0,10084.72,53095.28,0.8404,327.75,370,0.9000000000000004
740.0,2.394,66690.0,10084.72,56605.28,0.8488,331.03,370,0.9500000000000004
740.0,2.394,36900.0,10084.72,26815.28,0.7267,297.95,390,0.5
740.0,2.394,40590.0,10084.72,30505.28,0.7515,308.13,390,0.55
740.0,2.394,44280.0,10084.72,34195.28,0.7723,316.62,390,0.6000000000000001
740.0,2.394,47970.0,10084.72,37885.28,0.7898,323.81,390,0.6500000000000001
740.0,2.394,51660.0,10084.72,41575.28,0.8048,329.96,390,0.7000000000000002
740.0,2.394,55350.0,10084.72,45265.28,0.8178,335.3,390,0.7500000000000002
740.0,2.394,59040.0,10084.72,48955.28,0.8292,339.97,390,0.8000000000000003
740.0,2.394,62730.0,10084.72,52645.28,0.8392,344.09,390,0.8500000000000003
740.0,2.394,66420.0,10084.72,56335.28,0.8482,347.75,390,0.9000000000000004
740.0,2.394,70110.0,10084.72,60025.28,0.8562,351.03,390,0.9500000000000004
740.0,2.394,38700.0,10084.72,28615.28,0.7394,317.95,410,0.5
740.0,2.394,42570.0,10084.72,32485.28,0.7631,328.13,410,0.55
740.0,2.394,46440.0,10084.72,36355.28,0.7828,336.62,410,0.6000000000000001
740.0,2.394,50310.0,10084.72,40225.28,0.7995,343.81,410,0.6500000000000001
740.0,2.394,54180.0,10084.72,44095.28,0.8139,349.96,410,0.7000000000000002
740.0,2.394,58050.0,10084.72,47965.28,0.8263,355.3,410,0.7500000000000002
740.0,2.394,61920.0,10084.72,51835.28,0.8371,359.97,410,0.8000000000000003
740.0,2.394,65790.0,10084.72,55705.28,0.8467,364.09,410,0.8500000000000003
740.0,2.394,69660.0,10084.72,59575.28,0.8552,367.75,410,0.9000000000000004
740.0,2.394,73530.0,10084.72,63445.28,0.8628,371.03,410,0.9500000000000004
740.0,2.394,40500.0,10084.72,30415.28,0.751,337.95,430,0.5
740.0,2.394,44550.0,10084.72,34465.28,0.7736,348.13,430,0.55
740.0,2.394,48600.0,10084.72,38515.28,0.7925,356.62,430,0.6000000000000001
