distance_nm,block_time_h,revenue,total_cost,profit,profit_margin,profit_per_passenger,avg_fare,load_factor
338.0,1.518,47709.0,7518.36,40190.64,0.8424,261.15,290,0.9500000000000004
338.0,1.518,26730.0,7518.36,19211.64,0.7187,237.18,310,0.5
338.0,1.518,29403.0,7518.36,21884.64,0.7443,245.62,310,0.55
338.0,1.518,32076.0,7518.36,24557.64,0.7656,252.65,310,0.6000000000000001
338.0,1.518,34749.0,7518.36,27230.64,0.7836,258.6,310,0.6500000000000001
338.0,1.518,37422.0,7518.36,29903.64,0.7991,263.7,310,0.7000000000000002
338.0,1.518,40095.0,7518.36,32576.64,0.8125,268.12,310,0.7500000000000002
338.0,1.518,42768.0,7518.36,35249.64,0.8242,271.99,310,0.8000000000000003
338.0,1.518,45441.0,7518.36,37922.64,0.8345,275.4,310,0.8500000000000003
338.0,1.518,48114.0,7518.36,40595.64,0.8437,278.43,310,0.9000000000000004
338.0,1.518,50787.0,7518.36,43268.64,0.852,281.15,310,0.9500000000000004
338.0,1.518,28350.0,7518.36,20831.64,0.7348,257.18,330,0.5
338.0,1.518,31185.0,7518.36,23666.64,0.7589,265.62,330,0.55
338.0,1.518,34020.0,7518.36,26501.64,0.779,272.65,330,0.6000000000000001
338.0,1.518,36855.0,7518.36,29336.64,0.796,278.6,330,0.6500000000000001
338.0,1.518,39690.0,7518.36,32171.64,0.8106,283.7,330,0.7000000000000002
338.0,1.518,42525.0,7518.36,35006.64,0.8232,288.12,330,0.7500000000000002
338.0,1.518,45360.0,7518.36,37841.64,0.8343,291.99,330,0.8000000000000003
338.0,1.518,48195.0,7518.36,40676.64,0.844,295.4,330,0.8500000000000003
338.0,1.518,51030.0,7518.36,43511.64,0.8527,298.43,330,0.9000000000000004
338.0,1.518,53865.0,7518.36,46346.64,0.8604,301.15,330,0.9500000000000004
338.0,1.518,29970.0,7518.36,22451.64,0.7491,277.18,350,0.5
338.0,1.518,32967.0,7518.36,25448.64,0.7719,285.62,350,0.55
338.0,1.518,35964.0,7518.36,28445.64,0.7909,292.65,350,0.6000000000000001
338.0,1.518,38961.0,7518.36,31442.64,0.807,298.6,350,0.6500000000000001
338.0,1.518,41958.0,7518.36,34439.64,0.8208,303.7,350,0.7000000000000002
338.0,1.518,44955.0,7518.36,37436.64,0.8328,308.12,350,0.7500000000000002
338.0,1.518,47952.0,7518.36,40433.64,0.8432,311.99,350,0.8000000000000003
338.0,1.518,50949.0,7518.36,43430.64,0.8524,315.4,350,0.8500000000000003
338.0,1.518,53946.0,7518.36,46427.64,0.8606,318.43,350,0.9000000000000004
338.0,1.518,56943.0,7518.36,49424.64,0.868,321.15,350,0.9500000000000004
338.0,1.518,31590.0,7518.36,24071.64,0.762,297.18,370,0.5
338.0,1.518,34749.0,7518.36,27230.64,0.7836,305.62,370,0.55
338.0,1.518,37908.0,7518.36,30389.64,0.8017,312.65,370,0.6000000000000001
338.0,1.518,41067.0,7518.36,33548.64,0.8169,318.6,370,0.6500000000000001
338.0,1.518,44226.0,7518.36,36707.64,0.83,323.7,370,0.7000000000000002
338.0,1.518,47385.0,7518.36,39866.64,0.8413,328.12,370,0.7500000000000002
338.0,1.518,50544.0,7518.36,43025.64,0.8513,331.99,370,0.8000000000000003
338.0,1.518,53703.0,7518.36,46184.64,0.86,335.4,370,0.8500000000000003
338.0,1.518,56862.0,7518.36,49343.64,0.8678,338.43,370,0.9000000000000004
338.0,1.518,60021.0,7518.36,52502.64,0.8747,341.15,370,0.9500000000000004
338.0,1.518,33210.0,7518.36,25691.64,0.7736,317.18,390,0.5
338.0,1.518,36531.0,7518.36,29012.64,0.7942,325.62,390,0.55
338.0,1.518,39852.0,7518.36,32333.64,0.8113,332.65,390,0.6000000000000001
338.0,1.518,43173.0,7518.36,35654.64,0.8259,338.6,390,0.6500000000000001
338.0,1.518,46494.0,7518.36,38975.64,0.8383,343.7,390,0.7000000000000002
338.0,1.518,49815.0,7518.36,42296.64,0.8491,348.12,390,0.7500000000000002
338.0,1.518,53136.0,7518.36,45617.64,0.8585,351.99,390,0.8000000000000003
338.0,1.518,56457.0,7518.36,48938.64,0.8668,355.4,390,0.8500000000000003
338.0,1.518,59778.0,7518.36,52259.64,0.8742,358.43,390,0.9000000000000004
338.0,1.518,63099.0,7518.36,55580.64,0.8808,361.15,390,0.9500000000000004
338.0,1.518,34830.0,7518.36,27311.64,0.7841,337.18,410,0.5
338.0,1.518,38313.0,7518.36,30794.64,0.8038,345.62,410,0.55
338.0,1.518,41796.0,7518.36,34277.64,0.8201,352.65,410,0.6000000000000001
338.0,1.518,45279.0,7518.36,37760.64,0.834,358.6,410,0.6500000000000001
338.0,1.518,48762.0,7518.36,41243.64,0.8458,363.7,410,0.7000000000000002
338.0,1.518,52245.0,7518.36,44726.64,0.8561,368.12,410,0.7500000000000002
338.0,1.518,55728.0,7518.36,48209.64,0.8651,371.99,410,0.8000000000000003
338.0,1.518,59211.0,7518.36,51692.64,0.873,375.4,410,0.8500000000000003
338.0,1.518,62694.0,7518.36,55175.64,0.8801,378.43,410,0.9000000000000004
338.0,1.518,66177.0,7518.36,58658.64,0.8864,381.15,410,0.9500000000000004
338.0,1.518,36450.0,7518.36,28931.64,0.7937,357.18,430,0.5
338.0,1.518,40095.0,7518.36,32576.64,0.8125,365.62,430,0.55
338.0,1.518,43740.0,7518.36,36221.64,0.8281,372.65,430,0.6000000000000001
338.0,1.518,47385.0,7518.36,39866.64,0.8413,378.6,430,0.6500000000000001
338.0,1.518,51030.0,7518.36,43511.64,0.8527,383.7,430,0.7000000000000002
338.0,1.518,54675.0,7518.36,47156.64,0.8625,388.12,430,0.7500000000000002
338.0,1.518,58320.0,7518.36,50801.64,0.8711,391.99,430,0.8000000000000003
338.0,1.518,61965.0,7518.36,54446.64,0.8787,395.4,430,0.8500000000000003
338.0,1.518,65610.0,7518.36,58091.64,0.8854,398.43,430,0.9000000000000004
338.0,1.518,69255.0,7518.36,61736.64,0.8914,401.15,430,0.9500000000000004
338.0,1.518,38070.0,7518.36,30551.64,0.8025,377.18,450,0.5
338.0,1.518,41877.0,7518.36,34358.64,0.8205,385.62,450,0.55
338.0,1.518,45684.0,7518.36,38165.64,0.8354,392.65,450,0.6000000000000001
338.0,1.518,49491.0,7518.36,41972.64,0.8481,398.6,450,0.6500000000000001
338.0,1.518,53298.0,7518.36,45779.64,0.8589,403.7,450,0.7000000000000002
338.0,1.518,57105.0,7518.36,49586.64,0.8683,408.12,450,0.7500000000000002
338.0,1.518,60912.0,7518.36,53393.64,0.8766,411.99,450,0.8000000000000003
338.0,1.518,64719.0,7518.36,57200.64,0.8838,415.4,450,0.8500000000000003
338.0,1.518,68526.0,7518.36,61007.64,0.8903,418.43,450,0.9000000000000004
338.0,1.518,72333.0,7518.36,64814.64,0.8961,421.15,450,0.9500000000000004
338.0,1.518,39690.0,7518.36,32171.64,0.8106,397.18,470,0.5
338.0,1.518,43659.0,7518.36,36140.64,0.8278,405.62,470,0.55
338.0,1.518,47628.0,7518.36,40109.64,0.8421,412.65,470,0.6000000000000001
338.0,1.518,51597.0,7518.36,44078.64,0.8543,418.6,470,0.6500000000000001
338.0,1.518,55566.0,7518.36,48047.64,0.8647,423.7,470,0.7000000000000002
338.0,1.518,59535.0,7518.36,52016.64,0.8737,428.12,470,0.7500000000000002
338.0,1.518,63504.0,7518.36,55985.64,0.8816,431.99,470,0.8000000000000003
338.0,1.518,67473.0,7518.36,59954.64,0.8886,435.4,470,0.8500000000000003
338.0,1.518,71442.0,7518.36,63923.64,0.8948,438.43,470,0.9000000000000004
338.0,1.518,75411.0,7518.36,67892.64,0.9003,441.15,470,0.9500000000000004
338.0,1.518,41310.0,7518.36,33791.64,0.818,417.18,490,0.5
338.0,1.518,45441.0,7518.36,37922.64,0.8345,425.62,490,0.55
338.0,1.518,49572.0,7518.36,42053.64,0.8483,432.65,490,0.6000000000000001
338.0,1.518,53703.0,7518.36,46184.64,0.86,438.6,490,0.6500000000000001
338.0,1.518,57834.0,7518.36,50315.64,0.87,443.7,490,0.7000000000000002
338.0,1.518,61965.0,7518.36,54446.64,0.8787,448.12,490,0.7500000000000002
338.0,1.518,66096.0,7518.36,58577.64,0.8863,451.99,490,0.8000000000000003
338.0,1.518,70227.0,7518.36,62708.64,0.8929,455.4,490,0.8500000000000003
338.0,1.518,74358.0,7518.36,66839.64,0.8989,458.43,490,0.9000000000000004
338.0,1.518,78489.0,7518.36,70970.64,0.9042,461.15,490,0.9500000000000004
